ds,y
31/07/2012,1451
31/08/2012,854
30/09/2012,823
31/10/2012,763
30/11/2012,940
31/12/2012,1028
31/01/2013,1122
28/02/2013,1094
31/03/2013,1224
30/04/2013,941
31/05/2013,1368
30/06/2013,1177
31/07/2013,1069
31/08/2013,1047
30/09/2013,1133
31/10/2013,1378
30/11/2013,1455
31/12/2013,1570
31/01/2014,1215
28/02/2014,1207
31/03/2014,1216
30/04/2014,1235
31/05/2014,851
30/06/2014,1091
31/07/2014,805
31/08/2014,1289
30/09/2014,1167
31/10/2014,1281
30/11/2014,1189
31/12/2014,1335
31/01/2015,1089
28/02/2015,950
31/03/2015,1699
30/04/2015,1021
31/05/2015,1135
30/06/2015,1182
31/07/2015,1057
31/08/2015,1529
30/09/2015,1303
31/10/2015,1360
30/11/2015,1529
31/12/2015,1493
31/01/2016,1703
28/02/2016,1132
30/03/2016,1478
29/04/2016,1549
30/05/2016,1396
29/06/2016,1243
31/07/2016,1205
31/08/2016,1489
30/09/2016,1659
31/10/2016,1522
30/11/2016,1543
31/12/2016,1777
31/01/2017,1926
28/02/2017,1505
31/03/2017,710
30/04/2017,1661
31/05/2017,1808
30/06/2017,992
31/07/2017,2044
31/08/2017,1721
30/09/2017,1654
31/10/2017,1728
30/11/2017,1603
31/12/2017,1234
31/01/2018,2002
28/02/2018,1716
31/03/2018,1871
30/04/2018,1510
31/05/2018,1312
30/06/2018,1499
31/07/2018,1786
31/08/2018,1566
30/09/2018,1452
31/10/2018,2614
30/11/2018,2287
31/12/2018,1843
31/01/2019,2362
28/02/2019,2187
31/03/2019,2483
30/04/2019,1737
31/05/2019,1550
30/06/2019,1717
31/07/2019,2293
31/08/2019,1007
30/09/2019,702
31/10/2019,1192
30/11/2019,729
31/12/2019,803
31/01/2020,1389
28/02/2020,1107
30/03/2020,2755
29/04/2020,2057
30/05/2020,3769
29/06/2020,5455
31/07/2020,1428
31/08/2020,960
30/09/2020,863
31/10/2020,590
30/11/2020,1753
31/12/2020,1988
31/01/2021,1012
28/02/2021,1379
31/03/2021,1716
30/04/2021,1281
31/05/2021,2347
30/06/2021,3397
31/07/2021,3051
31/08/2021,2907
30/09/2021,2787
31/10/2021,1264
30/11/2021,1703
31/12/2021,1183
31/01/2022,1324
28/02/2022,1940
31/03/2022,623
30/04/2022,1178
31/05/2022,1186
30/06/2022,2364
31/07/2022,1251
31/08/2022,470
30/09/2022,316
31/10/2022,996
30/11/2022,1055
31/12/2022,1249
31/01/2023,528
28/02/2023,273
31/03/2023,293
30/04/2023,521
31/05/2023,724
30/06/2023,453
