ds,y
41121,1451
41152,854
41182,823
41213,763
41243,940
41274,1028
41305,1122
41333,1094
41364,1224
41394,941
41425,1368
41455,1177
41486,1069
41517,1047
41547,1133
41578,1378
41608,1455
41639,1570
41670,1215
41698,1207
41729,1216
41759,1235
41790,851
41820,1091
41851,805
41882,1289
41912,1167
41943,1281
41973,1189
42004,1335
42035,1089
42063,950
42094,1699
42124,1021
42155,1135
42185,1182
42216,1057
42247,1529
42277,1303
42308,1360
42338,1529
42369,1493
42400,1703
42428,1132
42459,1478
42489,1549
42520,1396
42550,1243
42582,1205
42613,1489
42643,1659
42674,1522
42704,1543
42735,1777
42766,1926
42794,1505
42825,710
42855,1661
42886,1808
42916,992
42947,2044
42978,1721
43008,1654
43039,1728
43069,1603
43100,1234
43131,2002
43159,1716
43190,1871
43220,1510
43251,1312
43281,1499
43312,1786
43343,1566
43373,1452
43404,2614
43434,2287
43465,1843
43496,2362
43524,2187
43555,2483
43585,1737
43616,1550
43646,1717
43677,2293
43708,1007
43738,702
43769,1192
43799,729
43830,803
43861,1389
43889,1107
43920,2755
43950,2057
43981,3769
44011,5455
44043,1428
44074,960
44104,863
44135,590
44165,1753
44196,1988
44227,1012
44255,1379
44286,1716
44316,1281
44347,2347
44377,3397
44408,3051
44439,2907
44469,2787
44500,1264
44530,1703
44561,1183
44592,1324
44620,1940
44651,623
44681,1178
44712,1186
44742,2364
44773,1251
44804,470
44834,316
44865,996
44895,1055
44926,1249
44957,528
44985,273
45016,293
45046,521
45077,724
45107,453
